date,max_temp,min_temp
2026-09-18,13.1,9.4
2026-09-19,11.9,7.8
2026-09-20,11.1,7.0
2026-09-21,14.2,11.8
2026-09-22,13.4,6.4
2026-09-23,10.9,3.2
2026-09-24,11.7,7.1
